uri,title,artist,album,release,image,preview
spotify:track:1KWjRsLfp79WoyFy0izv7G,Differently,Neil Young,Are You Passionate?,2002-04-09,https://i.scdn.co/image/ab67616d0000b27301fec268a067c9b337cb2c1e,https://p.scdn.co/mp3-preview/ce066e743d5c08947f4de207cd9c4b6ae25ed68c?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:5PhkyQqXlkLMXiDniiouT1,Night Society,Silver Jews,American Water,1998-10-20,https://i.scdn.co/image/ab67616d0000b27325191c5b6270c93029d1c896,https://p.scdn.co/mp3-preview/f989de3942d50957fd479a4df9d6d8f57085a3ad?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:1LIab6LnPTLSGWSKdyT6vv,Enough Fun,Mute Swan,Only Ever,2021-02-05,https://i.scdn.co/image/ab67616d0000b2737680671f32d81a88adc70fd1,https://p.scdn.co/mp3-preview/9e5cc84026ebcef8e4e4b38edbc97b50342193cb?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:5AcIubPl92mrGjRWZZVYKE,Ophelia,Ambulance LTD,LP,2004-03-23,https://i.scdn.co/image/ab67616d0000b273482238a4b17cefe095c919fc,https://p.scdn.co/mp3-preview/732c182d82857c1cedbda6ed9deb8af150d5beef?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:3X4qUkEhAvGY3qIlpNh1sl,Man-Size,PJ Harvey,Rid Of Me,1993-01-01,https://i.scdn.co/image/ab67616d0000b2735950e19534bed4e25b6048f1,https://p.scdn.co/mp3-preview/2d26a3aec14b80ba9a7ae2330aef38832c5cead7?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:2Grm7m0Uppe9ps1CJmnXA1,Ocean,Lush,Spooky,1992-01-27,https://i.scdn.co/image/ab67616d0000b2737da2ece4af756f5e9d6bd9ab,https://p.scdn.co/mp3-preview/5361c139142867cce55db610dcaacc8d3960788c?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:1n8QglR8D9us1gDGjlsJPp,Sulphur,The House of Love,The House Of Love,1988-06,https://i.scdn.co/image/ab67616d0000b27315ff6725e179e79dc3b8dd07,https://p.scdn.co/mp3-preview/119cf9bfcb3104b0deb4365a2486251c8de7c28f?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:4juJw163tH0zGCptRcoTM4,25th Floor,Patti Smith,Easter,1978,https://i.scdn.co/image/ab67616d0000b273a28eabe111f67a386e75a31a,https://p.scdn.co/mp3-preview/115a92da9ce6c9743d4905dd78f6f5364eac6b67?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:5ZgNecJcN9SSopnmCTlpXs,Virginia Plain,Roxy Music,Roxy Music,1972-06-01,https://i.scdn.co/image/ab67616d0000b273e9b2422823fe249021f13da5,https://p.scdn.co/mp3-preview/5e3d09108f2381651861cf8d3a0bad193a33d688?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:7HD9QJ22fNdxZa2NK0OV8P,March Day,shame,Drunk Tank Pink,2021-01-15,https://i.scdn.co/image/ab67616d0000b27317ceb0f6809c94057a76cb26,https://p.scdn.co/mp3-preview/6eb2d3998fdc8bfdf1c6073925051e339ecdbd96?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:2QuhQtkWjIgUnD0osMVxmQ,The Worst Band In The World,10cc,Sheet Music,1974,https://i.scdn.co/image/ab67616d0000b2738a378db6ece766d976f04032,https://p.scdn.co/mp3-preview/aefb468013c55be436bbb0d5e94656e3673e4a19?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:05qZjkncp85Z4pu4of3w6y,Fire at Static Valley,Godspeed You! Black Emperor,G_d's Pee AT STATE'S END!,2021-04-02,https://i.scdn.co/image/ab67616d0000b27324c152c255d5b567d62f783f,https://p.scdn.co/mp3-preview/2ea1c6991058bdae7eafdd6bb26cafd806252ae7?cid=9950ac751e34487dbbe027c4fd7f8e99
spotify:track:1sFqMF5WdetRPgQQc12RTo,Cancer For The Cure,Eels,Electro-Shock Blues,1998-10-10,https://i.scdn.co/image/ab67616d0000b273cc0571423f5ec7f964d0695d,https://p.scdn.co/mp3-preview/d8146738e2b74bb06214a0eba8e5c024c90a3657?cid=9950ac751e34487dbbe027c4fd7f8e99
